urun_ismi,img_url,ilac_sirketi,barkod,recete_tipi,etken_madde,dsf,kamu_odenen,fiyat_farki,psf
Exipot 880 mg/1 g Granül 20 Saşe,https://cdn.farmazonrx.com.tr/Products/Images/ebe66b69-10c2-4ccc-ab30-e43bb8cca193.jpg,Farma-Tek,8699738240011,Beyaz Reçete,Polistiren sülfonat - 880 mg,"671,84 TL","815,07 TL",-,"1132,04 TL"
Febind 500 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/925a4fcd-5d19-4c1c-a986-a6686b3ebd67.jpg,Farma-Tek,8699738070038,,Deferasiroks - 500 mg,"5395,39 TL","6152,68 TL",-,"8545,39 TL"
Enferox Easy 360 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/654dcb9f-072c-4436-a1b7-9d3c2b0220ed.jpg,İlko,8699680091426,,Deferasiroks - 360 mg,"3176,53 TL","3645,37 TL",-,"5063,02 TL"
Opaxol 350 mgi/ml IA/IV Intratekal Enjeksiyonluk Çözelti 100 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/ffbf66f7-64d6-4dc4-92e6-dfe6dba44684.jpg,MDS,8682279997445,Beyaz Reçete,İyoheksol - 350 mgI/ml,"872,66 TL","994,09 TL","47,91 TL","1447,22 TL"
Enferox 500 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/7a7eab33-e520-4d3a-a060-aeb15a65e735.jpg,İlko,8699680070087,,Deferasiroks - 500 mg,"5395,39 TL","6152,68 TL",-,"8545,39 TL"
Terolam 800 mg 180 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/945cd87c-e796-498b-85a2-41b1de77620e.jpg,Terra,8699792090072,Beyaz Reçete,Sevelamer - 800 mg,"1509,16 TL","1761,25 TL",-,"2446,18 TL"
Opaxol 300 mgi/ml IA/IV Intratekal Enjeksiyonluk Çözelti 100 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/60500112-407c-4bb4-ac70-1cd18bd9c219.jpg,MDS,8682279997421,Beyaz Reçete,İyoheksol - 300 mgI/ml,"776,08 TL","864,57 TL","68,30 TL","1295,65 TL"
Biemexol 300 mgi/ml IV/IA/IT Enjeksiyon İçin Çözelti İçeren Flakon 100 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f2083f10-b790-4a57-8c13-271acf4c60d6.jpg,Biem,8699702774023,Beyaz Reçete,İyoheksol - 300 mgI/ml,"776,08 TL","864,57 TL","68,30 TL","1295,65 TL"
Sevaren 800 mg 180 Film Tablet,https://cdn.farmazonrx.com.tr/Products/Images/ad640eef-df3b-4ee9-90da-c8179052c563.jpg,Farma-Tek,8699738090050,Beyaz Reçete,Sevelamer - 800 mg,"1587,09 TL","1849,30 TL",-,"2568,47 TL"
Gadonans Enjeksiyonluk Çözelti 7.5 mmol/7.5 ml,https://cdn.farmazonrx.com.tr/Products/Images/eab54aae-33d2-45d2-a8fb-c98e14836110.jpg,Biem,8699702774108,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","603,12 TL","737,42 TL",-,"1024,20 TL"
